,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
NOD-like receptor,6.592259770141959e-05,-0.0019339455653534497,0.0004427274448956849,0.07051735498216131,3.279055769585271e-05,0.01361166394067506,0.0004880024194142702,4.557119539504552e-06,-0.0021274290638481023,0.0011616635341766333,-0.024398470637466203,0.00017918911725646876,8.428269646834019e-06,0.00025422715237207166,0.078879115899647,3.2562388189037992e-06,3.6590369710902107e-06,0.007705732215865466,0.00014907183371506774,0.0016316166062934241,3.0689628607586244e-06,8.222953153121176e-05,0.013328352761112583
Toll-llike receptor,0.00013613061593063862,0.019806235907954738,0.0021593476390100903,0.21155206494648393,0.015137286789784526,0.12250497546607556,0.0014312528698426582,8.55584225700481e-06,0.054002009338524976,0.03403024162784483,0.09325991990925746,0.0003755308469060452,0.0001547797507865898,0.0008934768984692488,0.19719778974911745,5.424882471292584e-06,5.884674550162128e-06,0.031217469356683014,0.0002685352938642469,0.003816139871903244,5.2373202254358994e-05,0.0003935389833458389,0.03214941895068798
TNF,3.44885876374682e-07,-0.0019339455653534497,6.811318815776793e-05,0.01567052332936918,-0.002135833299345212,0.01361166394067506,-0.0015576622549302106,2.0164015181050974e-06,0.002307791942532318,-0.0024306435860210205,-0.01926580025535158,3.126289033074578e-05,-2.070254160429774e-05,-8.061405651668162e-05,0.078879115899647,1.7110649513321517e-06,1.8869733000885736e-06,0.004897744639899883,6.554514973860775e-05,0.0006197989725611722,-7.904335181027225e-06,-2.9174064774975774e-05,0.007950905278376753
Rap1,2.5988930720451795e-06,-0.0042343500275442356,-0.00017831824498166975,-0.03479215039708399,-0.0016137632557991421,-0.013469507989045419,0.001042520210609932,2.351555592623502e-06,0.03521495588961659,-0.008523198217714948,-0.029986903044538157,-6.62944636083127e-05,-3.4022222745611066e-05,-0.00018050306552872396,0.0,7.198392734220296e-07,6.736832420100559e-07,-0.0009101280521839139,2.975064526938175e-05,0.0015429286405167226,-1.634143115691787e-05,-6.04605528685864e-05,0.005360331442673056
IL-17,0.0001161003385774234,0.019806235907954738,0.0012929899114227984,0.1484564359844937,0.010498212694143716,0.06841034526892988,0.0021258621686046477,7.125485956831657e-06,0.03818923726947766,0.018948819082170967,0.08719682707679424,0.0002943418598681124,0.000134384636533138,0.0008184083333612214,0.19719778974911745,4.237295507812392e-06,4.578297377785493e-06,0.021262398658625503,0.0002445496851310324,0.002022115327772026,4.443813253520537e-05,0.0003593162822385288,0.03327325898017248
Estrogen,4.224244142127965e-06,-0.002825260412252726,-0.00015478745031981514,-0.011791290875371677,-0.0013136145670654604,0.005582608581010749,-0.0014009683276741051,2.7056864695225153e-06,-0.014062978116747803,-0.005596371210262925,-0.024853607661727183,1.0335694537801405e-05,-3.895608755460633e-05,-9.234573784573291e-05,0.036511977968378684,1.29156980014454e-06,1.848830517510317e-06,0.0006076996619084637,5.7411382381672214e-05,0.001142065724767537,-1.1031125669084785e-05,-7.330294005481075e-05,-0.0019253195144050255
Sphingolipid,0.00010745866546109252,0.018196722553648792,0.0012902631919026316,0.1018584016408997,0.006148975040083416,0.02722332788135012,0.0026937247814580187,6.929704389330965e-06,0.06988453992599783,0.015910429616126077,0.07356082129630288,0.0002552031990933755,0.00011102010501870591,0.0007892918033255505,0.19719778974911745,3.4817389418663366e-06,3.779088995284249e-06,0.0115774872136601,0.00020660272472702737,0.0016722840241385523,4.166029733368917e-05,0.00030677218328908234,0.03214941895068798
Oxytocin,1.186960863914634e-06,-0.0034733313842120433,-3.004754164600521e-05,-0.0003179604435964142,-0.002931014706362511,0.005920142567975091,-0.001476798944887677,3.181386687398568e-06,0.032817500670863683,-0.005603573955096071,-0.032034257193685384,-4.1350281338372895e-05,-3.122886954121799e-05,-9.314491418318533e-05,0.0,9.587436716812577e-07,1.0717118373113798e-06,0.0016200454450961733,5.4231934533046864e-05,0.0005921070797438457,-5.099801930264714e-06,-6.474850916059216e-05,0.010237855051015932
VEGF,0.0001413806520972222,0.018196722553648792,0.002077653578731711,0.21155206494648393,0.014554235562865172,0.12250497546607556,0.0006480601071135375,9.734612339265904e-06,0.05169421739599265,0.032779034563791214,0.09325991990925746,0.0003468260098371484,0.00014578177292844279,0.0009039349650046314,0.19719778974911745,5.0249883051684516e-06,5.3851948039673925e-06,0.03156621818753007,0.0002562919137417264,0.003843161255081743,5.311464916605916e-05,0.00038841044548762406,0.03214941895068798
cGMP,3.2453269246258135e-07,-0.0047537241523095235,-2.681124184356182e-06,-0.01819198197687366,-0.0021478292548234882,0.008093663878736777,-0.001476798944887677,2.851736909259742e-06,-0.025872158248934143,-0.00411767436809032,-0.026816346422034183,-1.791564532729646e-05,-2.6117342954055604e-05,-8.326158120086198e-05,0.0,5.835527995409739e-07,6.716094807386643e-07,0.0024150878666225517,1.6664491973426182e-05,0.0009413491087896284,-5.277599222106604e-06,-5.246146330740233e-05,0.009119364859238435
