,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
RBM7,1.0,1.0,0.342857640659718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UTP14A,1.0,0.578432818398016,0.438416430900287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMTN,1.0,1.0,0.458670461117451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRKD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.588012395803552,1.0
HEATR6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.594698733527775,1.0
OSTF1,1.0,1.0,0.4458488009987583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LRRC16A,1.0,1.0,0.3635374404442462,1.0,1.0,1.0,1.0,1.0,1.0,0.368021571937473,1.0
CTR9,1.0,1.0,0.498604915280077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MYO5A,1.0,1.0,0.3665502708329865,0.48698911138453,0.397606504456195,1.0,1.0,1.0,0.48698911138453,1.0,1.0
OTUD7B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.240425743896374,1.0
WDR43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53735666366658,1.0
BAIAP2L1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4141637764692176,1.0
ANLN,1.0,0.575896918273662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4099374937897946,1.0
RAPGEF6,1.0,1.0,1.0,1.0,0.332682202848332,1.0,1.0,1.0,1.0,0.450066862934143,1.0
TAGLN2,1.0,1.0,0.3993700849840316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NGDN,1.0,1.0,0.482041960831366,1.0,1.0,1.0,1.0,1.0,1.0,0.507274248029604,1.0
"EXOC1, RAB11FIP2",1.0,1.0,0.438836419681342,1.0,1.0,1.0,1.0,1.0,1.0,0.293550851255696,1.0
SRXN1,1.0,1.0,0.57474437094977,1.0,0.41625619776762,1.0,1.0,1.0,1.0,0.134766234235597,1.0
