,Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID
998,TOPBP1,-1.5492911082630794,0.0,0.0,0.0,0.0,0.0,0.0,1.7296387457734796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6179875373297391,0.8245240725143592,0.9341167213556184,0.0,0.0,0.0,0.0,0.0,11073
999,TOX4,1.3239932502316472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9878
1000,TP53,0.2772920308439666,0.0,0.0,0.0,2.648557312164909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7157
1001,TP53BP1,0.536074650492828,0.0,0.0,0.0,0.0,0.0,0.0,1.2794056608875497,-1.3738400409393337,0.0,0.0,0.3921758241683727,0.0,0.0,0.0,0.4061160420674716,0.4374894010831877,1.1140167455878758,0.355322561091935,0.0,-1.5127114166686118,0.0,0.0,7158
1002,TP53BP2,1.0487076391681704,0.0,0.0,-0.7557157659524212,0.0,0.0,0.0,1.1420042701018875,0.0,0.0,0.0,-1.8508296050905,0.0,0.0,0.0,0.0,0.0,0.0,-1.1923600273662105,0.0,0.0,0.0,0.0,7159
1003,TPD52,-2.3093590408372333,0.0,0.8213245669399946,0.8681389526197915,0.0,0.739925333209807,0.0,2.3366721520418,0.0,0.0,0.0,0.0,-1.5661162418502057,0.0,0.0,0.9885254934952172,1.3627580701286237,0.0,2.13687320064962,0.0,-1.5087900285500706,-1.7895971013450518,0.0,7163
1004,TPD52L1,-1.4683464995718714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0580079655624863,0.0,1.2851235669994496,0.0,0.0,7164
1005,TPD52L2,-2.3414508746344675,0.0,0.0,0.0,0.0,0.0,0.0,1.2099526731727366,0.0,0.0,0.0,-2.582569456652541,0.0,0.0,0.0,1.983325881968823,2.59087841081804,1.0800304171480126,-1.2849173452664682,0.0,0.0,0.0,0.0,7165
1006,TPR,-2.0229404453169337,-0.9101234153700452,0.1942708319614913,0.0,1.1056852353738102,0.7511074343627668,0.0,1.6162126692672871,0.0,-1.2704356449601557,-2.494569306635672,-1.5149628053323978,-1.6388371599602067,-1.4633032023419628,0.0,1.393489025778344,1.3233844197353777,1.0351608182757706,2.8209778968002253,0.9064029079294962,-2.002750356961654,-1.6948153286259957,0.9849806651155733,7175
1007,TPX2,-1.2907914494215944,0.0,0.0,0.8759291805609205,0.0,0.0,0.0,1.2752416930703634,0.0,0.0,0.0,-1.8198508790089696,0.0,0.0,0.0,1.741693865466301,1.8664994493440403,-1.716544498331924,0.3496323009426543,0.0,0.8168988483910136,0.0,0.0,22974
1008,TRA2A,1.115434529448042,0.0,0.0,-1.0398112551066017,1.974686154276871,0.0,0.0,2.2685658681424576,0.0,0.0,0.0,0.4827826760915512,-1.4139618644261824,0.0,0.0,1.2641420269033816,0.6619228900086567,0.0,0.0,0.0,-0.9995034777139048,0.0,-1.0552782382962222,29896
1009,"TRA2A, TRA2B",1.0125164904769952,0.0,0.0,0.0,0.0,0.0,0.0,1.7461552974037526,0.0,0.0,0.0,1.6348215401830992,0.0,0.0,0.0,0.95886523250887,-1.531105016638729,0.0,0.0,0.0,0.0,1.18771798376913,0.0,29896
