Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
RANBP3,-1.394703828433151,0.0,-1.5201957526700205,0.0,-1.5359036010033291,0.0,0.0,0.0,0.0,-1.5201957526700205,0.0,0.0,-1.2652079522488147,-1.0587881264040842,0.0,-1.607294969774623,-1.6936041623239884,0.0,0.0,0.0,-1.47343267373396,-1.1630968931703571,0.0
RAP1GAP,0.9024517547752071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.501303998622743,0.0,0.0,0.8955308753273478,0.0,1.2066762153507988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAPGEF6,-1.43005534320696,0.0,0.0,-1.5877834049491757,0.0,0.0,0.0,-1.168635139446859,0.0,0.0,0.0,-1.1517887475388573,0.0,-1.43005534320696,0.0,1.9491415418378353,1.4350857424090238,0.0,-1.8280940039342506,0.0,0.0,0.0,0.0
RAPH1,-1.520210139661607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2388754286488664,0.0,0.0,0.0,0.0,1.6414381285724589,0.0,0.0,0.0,0.0
RASAL2,-1.515369722986232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9539680347509211,0.0,-1.4623569558026939,0.0,0.0,0.0,-1.2153722948388053,-1.3381482733976424,0.0,1.1024937578700718,0.0,0.0
RB1CC1,2.114783880489723,0.0,1.1379072330092506,0.0,0.0,0.0,0.0,1.367140785873215,0.0,0.0,0.0,0.0,1.3536829680334215,0.0,0.0,1.2202560365877968,1.2003869712396813,0.0,-1.3379454091259588,0.0,0.0,1.278375699717409,0.0
RBBP6,0.5909173530529185,0.0,0.0,0.0,0.0,0.0,0.0,1.3002974759580819,0.0,0.0,0.0,0.763950330692939,1.034615991738578,0.0,0.0,0.7245623841963197,0.8422975537745726,0.0,0.0,0.0,-0.7475998323249395,0.0,0.0
RBM10,-1.493047196937995,0.0,0.0,0.0,0.0,0.0,0.0,3.4947394846801707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.021065344727316,0.8269026428195153,1.0736893464716843,1.236043256586617,0.0,0.0,0.0,-2.7468979446348727
RBM12,-1.4077545113947554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35608593629682317,0.3536801975795082,0.0,0.0,0.0,0.0,0.0,0.0
RBM12B,-1.2773155424987195,0.0,0.0,0.0,0.0,0.0,0.0,0.7510632536574959,0.0,0.0,0.0,0.8092938569409885,1.3950527747919386,0.0,0.0,0.4416908525218823,0.5377129719880333,0.0,0.0,0.0,0.0,0.0,0.0
RBM14,-1.5535143748935476,0.0,0.0,0.0,1.529755379982726,0.0,0.0,2.5825029478583423,0.0,0.0,0.0,-1.0165159404206228,-1.3155117572073778,-1.7427514196083318,0.0,1.5551466499750115,1.381899707971801,0.0,1.108537308331987,0.0,-1.0981969485856509,0.0,0.0
RBM15,0.29475790362073784,0.0,0.0,0.0,0.0,-0.879874485614024,0.0,1.6309697418341877,0.0,0.0,0.0,-1.5646194930147292,1.3996478679546507,0.0,0.0,0.9655010140444171,1.1543146326147307,0.0,-1.8463771202939032,0.0,1.5084632951513666,0.7197466449400016,0.0
RBM15B,0.2923489265161983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7549031663235558,0.0,0.0,0.0,-1.5028422482506625,-1.5809698769365692,-1.1159091934816638,0.0,0.0,0.0,0.0,0.0
RBM25,1.397129437373655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8598191190832764,0.0,0.0,0.0,1.2999904315755433,1.5333467574316515,-1.526657125528916,0.0,0.0,0.0,0.0,0.0
RBM3,1.1112693305153793,0.0,0.0,0.0,0.0,0.0,0.0,-1.5847797992913624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3669645861462087,-1.0807137008585261,0.0,0.0,0.0,0.0,0.0
RBM34,-1.5731416457143417,0.0,-2.028151192206504,-1.140832756505874,0.0,0.0,0.0,1.2631509877140152,0.0,-2.028151192206504,0.0,-0.012984000083319493,0.7471740984228464,0.0,0.0,1.1190518838084433,0.3818892876863383,0.0,0.0,0.0,0.5304299916375821,0.6306514930670429,0.0
RBM47,1.4981746290644427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM5,-1.1340884567057867,0.0,0.0,0.850807108667599,0.0,0.7622303474562152,0.0,2.112159554465365,0.0,0.0,0.0,0.9568112629312163,0.6123650196655156,0.0,0.0,0.7740258643592018,0.9701743260939724,0.0,0.0,0.0,0.13465558174859624,0.7975811564080406,0.0
RBM8A,-1.0500133593369323,0.0,0.0,0.0,1.4890641527275454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6368047459234265,-1.7007303108840606,0.0,0.0,0.0,0.909812257867177,0.0,0.0
