,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
28,LMNA,-4.739776330999999,0.0,6.473225165672887,0.0,0.0,5.913164826904765,0.0,7.65669056867802,0.0,0.0,0.0,7.532387846273029,0.0,8.179183634619665,0.0,0.0,5.231871240954758,0.0,8.200930933487264,8.395236915777689,4.246859572999999,4.743552439999999,0.0,0.0,8.080551930247779,0.0,0.0
29,MAPRE2,-4.73689865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2819371106666666,0.0,0.0,0.0,6.5549593538655575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.450449187369502,0.0,0.0,0.0
30,MEA1,-4.871318145188647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4857774829999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,MLL,-4.7096939094938985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2044832279999995,0.0,0.0,0.0,0.0,0.0,8.011041061143768,0.0,0.0,8.20259491028892,7.525692551318729,0.0,4.143793093,0.0,0.0,0.0,6.117643192962341,0.0
32,MLL2,-4.868643456999999,0.0,6.746720157503479,0.0,8.543022966,0.0,-4.439457384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.196046281220994,8.530047737465358,0.0,0.0,0.0,0.0,8.822843056254772,0.0,0.0
33,MLLT4,-4.740719766,0.0,5.872342204135488,0.0,0.0,5.785169972560817,-4.409498206000001,7.7585077392593345,0.0,-2.369081102,0.0,0.0,0.0,6.747013684969076,0.0,12.226671732290283,4.78079130859501,6.145686928243533,8.609371183956547,8.119080356171414,0.0,0.0,0.0,0.0,6.8115312288748475,6.559678782805414,0.0
34,NAV1,-2.8322743849999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26774547258833,0.0,0.0,0.0,0.0,8.399267474635263,0.0,0.0,4.201130876,0.0,0.0,0.0,0.0,0.0
35,NCOR2,-4.80904257977026,0.0,6.778607500368929,0.0,0.0,0.0,0.0,0.0,0.0,-2.4906133140000004,7.043561873999999,0.0,0.0,6.791584231817277,0.0,8.0431512389767,0.0,0.0,8.456331170634334,7.872431632477647,0.0,4.439477279,0.0,0.0,5.795793581569523,5.941040863537963,0.0
36,NOBOX,-4.9380436698211785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,NPM1,-4.550392099268377,0.0,6.8223330411051055,0.0,8.490589086,0.0,0.0,0.0,0.0,-1.677071139333333,0.0,0.0,0.0,7.696944811397137,0.0,0.0,0.0,0.0,8.532696203355444,7.793663812562572,4.24951902,0.0,0.0,5.5841263719266685,0.0,0.0,0.0
38,PDCD11,-5.132917065681848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,PHF16,-4.713176832932842,0.0,5.950339394093195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.937829820665155,7.993512649666068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,PLEKHA3,-4.740871701,0.0,6.282848097508085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.804059702624843,7.776382524770525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,PPIG,-4.71191025,0.0,6.805182067612892,0.0,6.147842304626954,0.0,0.0,0.0,0.0,0.0,0.0,5.670721049907291,0.0,0.0,0.0,0.0,0.0,0.0,8.744362690783763,7.986577844008045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PPIP5K2,-5.434232621999999,0.0,6.941264811352438,0.0,6.861474986446349,0.0,0.0,0.0,0.0,-2.076777916,0.0,6.743135588173037,0.0,0.0,4.962249907999999,0.0,0.0,0.0,8.778316613302733,7.084033117626161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
