,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID,All Pathways
4148,"SRSF4, SRSF6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42366392208194,2.5007593400636097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6429,hsa03040 hsa05168
4150,SSH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.330563080681033,-1.361508335657631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85464,hsa04360 hsa04810
4151,SSX2IP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892127928561253,0.0,0.0,-1.7822718480429165,0.0,0.0,0.0,0.0,0.0,117178,hsa04520
4152,STAMBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1223830813860471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10617,hsa04144
4156,STK11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.268253074985705,-1.2576927666824034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6794,hsa04068 hsa04140 hsa04150 hsa04151 hsa04152 hsa04211 hsa04530 hsa04920
4159,STK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3644524356809584,2.2668948848831567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6789,hsa04010 hsa04014 hsa04068 hsa05200 hsa05223
4162,STX10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479322320012429,2.6006322853874035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8677,hsa05132
4163,STX18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0960942983398034,1.9377489544961048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53407,hsa04130 hsa04145
4164,STX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9360281683088476,1.9313644659328504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6810,hsa04130 hsa04962
4168,SUV39H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.527882811335673,-1.4983031246842706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79723,hsa00310 hsa01100
4169,"SYMPK, TRIP12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1926190817386706,-1.903047745737208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8189,hsa03015 hsa04530
4171,SYNJ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914019213816296,1.101875547370608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8871,hsa00562 hsa01100 hsa04070
4173,TAB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800816125685209,1.3243832287549049,1.8237045301048345,1.5705207323921613,0.0,0.0,-1.1254130103020994,0.0,0.0,257397,hsa04064 hsa04621 hsa04657 hsa04668 hsa04936 hsa05130 hsa05131 hsa05132
4174,TAF10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1690615585970745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6881,hsa03022
