,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
HIST1H1C,1.0,1.0,1.7715545049574566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ABI1,1.0,1.0,3.0601430227926976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FTSJ3,1.0,1.0,1.73840882417123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HNRNPK,1.0,1.0,2.14975570320181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM53C,1.0,1.0,1.84845022272374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CALD1,1.0,1.0,1.72210601174275,1.0,1.83299145308542,1.0,1.0,1.0,1.0,1.770078159067,1.0
BRD1,1.0,1.0,2.52845498679449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAP7,1.0,1.0,2.18618747170343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"CTAGE1, CTAGE5",1.0,1.0,3.3974257769344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHACTR4,1.0,2.249340121099624,1.0,2.238720948,1.0,1.0,1.0,1.89854002677583,1.0,1.0,1.0
LRBA,1.0,1.0,2.97633199479165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GRAMD1A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.378970365602473,1.0
CHD4,1.75484914519681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.76519262312001,1.0
CCDC28B,1.0,1.0,2.25299790782642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ARAF, RAF1",1.0,1.0,2.2823333226896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRGAP3,1.0,1.0,2.26591106561517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FASN,1.0,1.0,2.460859242319085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CLTC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.82043118266295,1.0
"ATF1, CREB1, CREM",1.0,2.55324822182412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VPS13D,1.0,2.08410278621048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAPK3,1.0,1.0,1.0,2.3987348683333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"MARK2, MARK3",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.74085258923145,1.0
EPB41L1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9165688355354304,1.0
INF2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7499816524444851,1.0
HNRNPU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8408203923925897,1.0
F2RL1,1.0,1.8181942683634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NFATC2,1.0,1.0,2.36889924070214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GIGYF2,1.0,2.4561860887056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.633673459089855,1.0
SMARCC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.779981616184275,1.0
PEA15,1.0,1.0,2.0279656635986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUP98,1.0,1.0,2.01413320551079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RABGAP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.71849479083461,1.0
NHSL1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.05693442034677,1.0,1.0
DDX20,1.0,1.0,1.0,2.457488653,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AHNAK2,1.0,2.0339807309721047,1.0,2.11158753218027,1.0,1.0,1.0,1.0,1.0,1.73407750819793,1.0
TOPORS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6470975206550698,1.0
DCP1A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9633887532594447,1.0
REPS1,1.0,1.0,2.6571019873342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GTF2F1,1.78057437381026,1.0,2.6384885481671367,2.41631067729708,1.0,1.0,1.89220047170057,1.0,2.41631067729708,3.21558618051575,1.0
JUND,1.0,1.0,2.55767896949563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"RASSF2, RASSF4",1.0,1.0,1.0,1.0,2.49937305239276,1.0,1.0,1.0,1.0,1.0,1.0
DNM1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.87297474467428,1.0
LEMD2,1.0,1.0,3.0514508809908,1.0,1.77381105717711,1.0,1.0,1.88016062833556,1.0,3.0412734200061173,1.0
OXSR1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.13703975222574,1.0
NOLC1,1.0,1.0,1.742191998097225,1.0,1.0,1.0,1.0,1.0,1.0,1.9280816727623904,1.0
"FAM21A, FAM21B, FAM21C",1.0,1.0,3.29788026438592,1.0,1.0,1.0,1.0,1.0,1.0,1.72834779358972,1.0
RAVER1,1.0,1.0,3.14799303018155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DNMT3A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75158773142448,1.0
BCL2L13,1.0,1.0,2.36423202049543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.19908425829569,1.0
TBC1D4,1.0,1.0,1.0,2.34476451785358,1.0,1.0,1.0,1.0,2.34476451785358,2.22712053776779,1.0
GTSE1,1.0,1.90034311212074,2.14857767851327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EML3,1.0,1.0,2.65456264507014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TGOLN2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.92336527553638,1.0
YBX1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.766992966988105,1.0
SH3GL1,1.0,1.0,2.13631898489526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DNAJB14,1.0,1.8544154461698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTSS1L,1.0,1.0,1.0,2.043035356,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AARS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.69797685310045,1.0
CYB5B,1.0,1.0,1.0,1.0,1.0,1.0,1.68548508840528,1.0,1.0,1.0,1.0
EDC3,1.0,1.0,2.54057818531661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZC3H18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.228916542931316,1.0
KANSL3,2.00089177944549,2.01958856434902,1.0,1.0,1.0,1.0,1.89202302312346,1.0,1.0,2.5151932502252,1.0
EHBP1L1,1.0,1.0,2.22592994771607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VASP,1.0,1.75641231695519,2.07807144110027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
YAP1,1.0,1.0,2.361922727604115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PARVB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.80855395468303,1.0
MAP7D1,1.0,1.0,4.61525091196083,1.0,1.0,1.0,1.0,1.0,1.0,2.19214581406899,1.0
MKL2,1.0,1.0,1.0,3.41650055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LARP1,1.0,1.0,1.70591561209799,2.222517881666666,1.0,1.0,1.75187300257145,1.0,1.0,2.3614678192330936,1.0
GNA13,1.0,2.49491495667331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
VIM,1.0,1.8802391292687533,2.095938667367775,1.0,1.0,1.0,1.0,1.0,1.0,1.82749203823223,1.0
CDC25B,1.0,1.0,1.0,1.0,1.98925747908292,1.0,1.0,1.0,1.0,1.0,1.0
PVR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.898324264848345,1.0
CHD8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73385847511752,1.0
RHPN2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.53667172301461,1.0
NRBP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.01478211389619,1.0
ABL2,1.0,1.0,1.0,1.0,1.72081037969776,1.0,1.0,1.92999303886646,1.0,2.23158767490903,1.0
TRA2B,1.0,1.0,2.23065641253397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRBD1,1.0,1.0,1.85873533549048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MYO18A,1.0,1.0,2.00560742946887,2.736879543,1.0,1.0,1.0,1.0,1.0,2.32177324012315,1.0
EIF2AK3,1.0,1.0,1.0,1.83044863327192,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NCK2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.06633565428441,1.0
RBM34,1.0,1.0,2.5111990090176124,1.0,1.0,1.0,1.0,1.0,1.0,1.73252882367258,1.0
GNAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.11183140666881,1.0
PHF14,1.0,1.80417241079676,2.19261699874588,2.31271674,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZBTB7A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90611170047419,1.0
RRP36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.76803814504388,1.0
JMJD1C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96348302400144,1.0
CREBBP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95179064165028,1.0
C17orf28,1.0,2.00349509078752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ANKS1A,1.0,3.72242674571456,1.0,1.0,1.0,1.0,1.0,2.17498707330006,1.0,2.33893754534763,1.0
HIVEP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.13636218264355,1.0,1.0
TTC28,1.0,1.0,1.0,1.0,1.97626309636994,1.0,1.0,1.0,1.0,1.0,1.0
STK39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.84032197941513,1.0
CEP120,1.0,1.0,1.80173923508162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TNS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.16816130668594,4.78605015634683,1.0
KIAA0947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.68782335062517,1.0
TCOF1,1.0,1.0,2.16044755904526,1.0,1.81722639162145,1.0,1.0,1.0,1.0,1.0,1.0
SCAF11,1.0,1.0,3.53776322079769,1.0,1.0,1.0,1.0,1.0,1.0,3.571948497255136,1.0
PPP1R7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.905191306705785,1.0
BAIAP2,1.0,1.0,2.39322824619848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SPATS2L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.021612470554895,1.0
SMCR7L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.78390869112474,1.0
MYBL2,1.0,1.0,3.27342092242469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FHOD1,1.0,1.0,1.0,1.0,1.0,1.0,1.85753967249701,1.0,1.0,1.0,1.0
SYNPO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.64414508484411,1.0
CHERP,1.0,1.87761231801998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.511463285147,1.0
HP1BP3,1.0,1.0,1.71377077511309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKAP13,1.0,1.0,2.11911146954872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MSH6,1.0,1.0,2.39166214541044,1.0,1.0,1.0,1.0,1.0,1.0,2.13236567908663,1.0
PAPOLG,1.0,1.70888751002781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GTF3C1,1.0,1.0,2.3984869486555502,1.0,1.7690255096766263,1.0,1.0,1.0,1.0,2.52212407494226,1.0
CDCA2,1.0,1.0,1.0,1.0,1.91696008045374,1.0,1.0,1.0,1.0,1.0,1.0
ZC3H13,1.0,1.0,1.0,1.0,1.0,1.67276532458111,1.0,1.0,1.0,1.815775929618742,1.0
FOXK1,1.0,1.0,2.1730685051351,1.0,1.0,1.0,1.0,1.0,1.0,3.723912536508605,1.0
NFX1,1.0,1.0,2.15052533340629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"EEF1A1, EEF1A1P5",1.0,1.0,2.07199164954743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CLASRP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.38123937331386,1.0
"SRRM1, USP24",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8103729402332,1.0
RPS14,1.0,1.0,2.50719771428012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ADAR,1.0,1.0,1.0,2.156104854,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SKA3,1.0,1.0,2.40292683668947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SDPR,1.0,1.0,2.57537470859177,1.0,1.0,1.0,1.0,1.0,1.0,1.80630199379195,1.0
RPS28,1.0,1.0,2.5019533550365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PCF11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5066340679251238,1.0
ING5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.285515433276945,1.0
"PPFIA1, PPFIA4",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.90764682623948,1.0
FAM208B,1.0,1.0,2.00423217200435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ANXA2, ANXA2P2",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.02331746734767,1.70033344398801,1.0
SGTA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.451550493555464,1.0
PRKD2,1.0,1.0,2.73325510915224,1.0,2.08029334826601,1.0,1.0,1.0,1.0,1.0,1.0
TRIM56,1.0,1.0,2.33111159281741,1.0,1.0,1.0,1.0,1.0,1.0,3.54343569669323,1.0
SNX24,1.0,1.0,4.482341637294255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TICRR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3249531929933,1.0
RPP38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84192150779639,1.0
C1orf106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85934502671367,1.0,1.0,1.0
MLL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85528037647549,1.0
CTDSPL2,1.0,1.0,1.0,2.025665658,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BECN1,1.0,1.99829108776328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HSF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1789872001388,1.0
STMN1,1.0,1.9624940689222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LPP,1.0,2.87367102677557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRSF4,1.0,1.0,1.0,2.604547558,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"OXSR1, STK39",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.87982114936227,1.0
CCNL1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.188069628061575,1.0
PHF2,1.0,1.7344373548827,3.087621946042075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRCAP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.98802860601037,1.0
TROAP,1.0,1.0,2.60342883463803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KAT6A,1.0,1.72401174681273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUP153,1.0,1.758232773316715,1.0,2.410729756,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SQSTM1,1.0,1.66086369921852,1.0,1.0,1.0,1.0,1.0,1.0,2.05218464105709,1.0,1.0
ZNF629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8308730184401,1.0
HDGFRP2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90565962822595,1.0
LEMD3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.54282192013924,1.0
MRF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96632726094733,1.0
CTTNBP2NL,1.0,1.0,2.0429543961595,1.0,1.0,1.0,1.0,1.0,1.0,4.46535152178241,1.0
SEC62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90599129076447,1.0
PDE4D,1.0,1.84262799554978,1.0,1.0,1.0,1.0,1.78779094450515,1.0,1.0,1.84589787013466,1.0
ELAVL1,1.0,1.0,1.0,1.0,1.69234141095037,1.0,1.0,1.0,1.0,1.0,1.0
MRGBP,1.0,1.0,2.690807279542178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RGNEF,1.0,1.0,2.27201107940427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STK10,1.0,1.98233874246091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.87993286060759,1.0
NOL8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.28895093757148,1.0
TCEA1,1.0,2.702626000633985,1.0,3.20523382723748,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTAGE5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6855446218718,1.0
ZNF318,1.0,1.89641951170409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75189237807769,1.0
RAD21,1.0,1.0,2.2132819904564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PLEKHA7,1.0,2.44247806102843,1.0,1.0,1.0,1.0,1.0,2.14318455798006,1.0,1.85799713397558,1.0
SMC2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67295175937479,1.0
HNRNPA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.70682127073644,1.0
PHLDB1,1.0,2.05281388603677,14.3174805844102,1.0,1.0,1.0,1.0,1.0,1.0,1.76014073260486,1.0
NPM1,1.0,1.0,1.8722860628172324,1.0,1.84727471744478,1.0,1.0,1.0,1.0,1.0,1.0
PDLIM5,1.0,1.0,1.7462444197005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBM39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.94679350900057,1.0
WDR59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.86599412145596,1.0
IL17RA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9047220602181,1.0,1.0,1.0
MTUS1,1.0,2.53498367638333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRCC,1.0,1.0,2.09463025018097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CLIP1,1.0,2.42499515869061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FAM21C,1.0,1.73190756311189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C2orf44,1.0,1.0,2.72661188445582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SYMPK,1.0,1.0,3.94705509416798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HNRNPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91665032187649,1.0
NCOA6,1.0,1.98575402179578,3.02135738913647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"EIF4G1, TNIK",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15544472827619,1.0
CENPC1,1.0,1.0,2.03178912307542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
METTL3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.79638499538553,1.0
SF3B1,1.0,1.0,1.97707900863132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAP3K4,1.0,1.89093088551127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EIF4B,1.0,1.0,2.40645157488434,1.0,1.0,1.0,1.0,1.0,1.0,1.71923847820392,1.0
TBC1D2,1.0,1.0,2.4316474416578098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGHMBP2,1.0,1.0,1.0,1.0,2.02877279837144,1.0,1.0,1.0,1.0,1.0,1.0
SLC12A6,1.0,1.0,2.01358134823211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CLIP2,1.0,1.0,1.81295239079389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SRSF10,1.0,2.27918641751394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8467840742753183,1.0
RBM12B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7523535238587251,1.0
ERCC5,1.0,1.0,2.29250850265065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NAA30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.92931222047705,1.0
RBL2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.19729274255495,1.0
KIAA0930,1.0,1.0,1.79604109521348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HECTD1,1.0,1.77903805068711,1.0,1.95372837872324,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MEA1,1.0,1.0,2.62283916033883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NEDD4L,1.0,1.0,1.0,2.49135480213051,1.0,1.0,1.0,1.0,2.49135480213051,2.58832561753037,1.0
DNAJC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.03117987764173,1.0
PPP1R15A,1.0,1.72217346398467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUP93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.83696553287417,1.0
BAG3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7681622528985,1.0
"WASH2P, WASH3P",1.0,1.0,1.0,1.0,1.0,1.0,2.02827230145455,1.0,1.0,1.0,1.0
HDGF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1286613572887165,1.0
AMOTL1,1.0,1.0,1.68590980772629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
", USP32, USP6",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.53305081249572,1.0
MMTAG2,1.0,1.0,4.20008647392817,1.0,1.0,1.0,1.0,1.0,1.0,2.13585150459955,1.0
INPPL1,1.0,1.0,3.15485251341816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"DGKD, DGKH",1.0,1.89053829731994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPS11,1.0,1.0,1.78522696215137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HN1L,1.0,1.0,2.86466243535446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PDAP1,1.0,1.0,2.09793280205078,1.0,1.0,1.0,1.0,1.0,1.0,2.26749688269287,1.0
FAM83B,1.0,1.0,2.03323274751568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CXorf26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.78664782843308,1.0
TACC2,1.0,1.67382506275761,3.0383760247009,1.0,1.0,1.0,1.0,1.9473579131403569,1.0,2.18683727718101,1.0
RPL13,1.0,1.0,2.38393742611224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LIMCH1,1.0,1.82243756086155,1.9272648728058697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TPX2,1.0,1.0,1.7616152318787466,1.0,1.83518967608027,1.0,1.0,1.0,1.0,1.0,1.0
URI1,1.0,1.70085743878689,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RALGPS2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.35608613920453,1.0
SAMSN1,1.0,1.0,2.51064975862915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AP3B1,1.0,1.0,1.74430805895944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CANX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8995521655214864,1.0
NDRG2,1.0,1.0,2.67287373973044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTNND1,1.0,1.91185405999583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GEMIN5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.82320624097048,1.0
SGOL1,1.0,1.0,1.0,1.0,1.99228553121061,1.0,1.0,1.0,1.0,1.0,1.0
PRKCD,1.0,3.80352894660067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NFATC2IP,1.0,1.0,1.0,2.218150617,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"HSP90AB1, HSP90AB2P",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72258249153281,1.0
KDM1A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73477656500534,1.0
RB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.023562688057028,1.0
ABLIM3,1.0,1.0,2.20892997807948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BET1,1.0,1.0,1.0,2.330980583,1.83336246929094,1.0,1.0,1.78553216469557,1.0,1.0,1.0
PLEKHG3,1.0,1.0,3.2404990642103564,1.0,1.0,1.0,1.0,1.0,1.0,2.03175222154868,1.0
PRRC2C,1.76604927181716,1.95384272819441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.07443191800333,1.0
PLXNB2,1.0,1.0,1.0,1.99645846822118,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C17orf85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.27239344907076,1.0
"WNK1, WNK2, WNK4",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.174779156254,1.0
LARP1B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5239296143598158,1.0
TSC22D4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.34050770738997,1.0
MICALL1,1.0,1.0,2.3135464154075414,1.0,1.0,1.0,1.0,1.0,1.0,1.68839072560512,1.0
PALLD,1.0,1.73876166011993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
