,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
"CAMK2B, CAMK2D, CAMK2G",1.0,1.0,2.6971013941133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGDIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.73409566435989,1.0
WDR62,1.0,1.8572298365047,1.0,2.051868322,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"CTAGE4, CTAGE5, CTAGE6P, CTAGE8",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67071580206331,1.0
KIAA1462,1.94263444616034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MBP,1.0,2.004521990894845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90527733092652,1.0
ZNF281,1.0,1.6664023205785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HMGN3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.49341295003353,1.0
SPECC1L,1.0,1.75323144124558,1.0,2.010978424,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NCAPG,1.0,1.0,1.8429368631062328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RPL15,1.0,1.0,2.31411756112879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SMCHD1,1.0,1.0,2.21057823031442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DCP2,1.0,1.0,2.01743883086435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGAP6,1.0,1.0,2.3688691552895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBM25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81481076066426,1.0
CREBZF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.77931541127652,1.0
GAPVD1,1.0,1.8262328417764,1.0,1.0,1.68731504503591,1.0,1.0,1.0,1.0,2.16941527607545,1.0
METTL16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.70611365790797,1.0
CIT,1.0,1.0,2.27627792145435,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GLIS3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67109741858472,1.0
PKMYT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.08067610388469,1.0
ANP32A,1.0,1.89613631898364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"FRMD8, FRMD8P1",1.0,1.0,2.021235709005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AKAP1,1.0,1.0,1.0,2.219363429,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACTR10,1.0,1.9730054612120649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ERC1,1.0,1.0,1.78786469910684,1.0,1.0,1.0,1.0,1.0,1.0,1.8891591301283,1.0
NMD3,1.71124203957181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91305687197885,1.0
MAP1B,1.0,2.1552352781943,2.37059242349811,1.0,1.0,1.9007525322970704,1.0,1.0,1.0,2.451428293365879,1.0
CLINT1,1.0,1.0,4.05280618614431,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATXN2L,1.0,1.0,1.77274245991862,1.0,1.0,1.0,1.0,1.0,1.0,1.76416864746247,1.0
C2orf49,1.0,1.0,2.2412235582896964,1.0,1.0,1.0,1.0,1.0,1.0,1.76561688880275,1.0
UBASH3B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.10559440501973,1.0
MTOR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.79696240744993,1.0
EZH2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.82756236733127,1.0
PAICS,1.0,1.0,1.74907336723331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EPB49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7451726232178,1.0
OSBPL3,1.790605131775,1.0,2.408187679193884,1.0,1.0,1.0,1.0,1.0,1.0,1.98140432337403,1.0
"MAP4K4, MINK1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90577215247534,1.0
PRR12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.68021580345873,1.0
RAB7A,1.0,1.74131709979083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"GLI2, GLI3",1.0,1.0,1.69643090874222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TNFRSF21,1.0,1.0,2.97704355384298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ERF,1.0,1.0,1.0,2.07838934,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGEF18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.92107194022091,1.0,1.73203063681139,1.0
GYS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.60065834977931,1.0
FOSL1,1.0,1.0,2.376741778869655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEX2,1.0,1.0,1.0,1.0,1.72778521163812,1.0,1.0,1.0,1.0,2.32674404193778,1.0
R3HDM1,1.0,1.0,2.72177978383677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBM5,1.0,1.0,1.72259309361012,1.0,1.80350960765216,1.0,1.69611071663961,1.0,1.0,1.9410149943642436,1.0
ATXN1L,1.0,1.0,1.0,1.69929060190806,1.0,1.0,1.0,1.0,1.0,1.86781019341509,1.0
