,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
Estrogen,0.0,0.0,19.70123123587143,9.004597089992217,15.496919699804714,5.425911983448866,-9.313670552999998,6.509195032392112,16.29733367424703,-13.121389159499998,8.737146502,15.721012581539707,6.200193799746488,14.096961672643928,0.0,52.97562931163176,13.203142477088875,8.286895640508483,66.00738837101848,84.4951457810722,3.484688099,8.453752757,0.0,8.197920029831522,47.7382473820682,19.053694984599446,0.0
Sphingolipid,0.0,0.0,0.0,9.61398361794348,0.0,0.0,0.0,0.0,8.434018990862729,-11.0407935215,0.0,0.0,6.204044263155079,35.73207530534356,0.0,14.672081206482419,13.154338544224137,0.0,42.04793352676239,59.443789898411524,0.0,0.0,0.0,0.0,45.16029693139957,7.673482427825595,0.0
Oxytocin,0.0,0.0,24.877067077483318,0.0,7.1720985371910455,10.7350981822609,-4.554029113,13.589189142302217,8.434018990862729,-33.1109276525,0.0,7.249699406608041,0.0,29.25005595636992,0.0,24.023576342434836,7.125807031140493,16.099655043130582,49.256366506225106,76.49655828322375,0.0,4.775168967999998,0.0,16.14466296234869,39.65689726793078,12.532737732166838,0.0
VEGF,0.0,0.0,0.0,0.0,4.642492155416942,0.0,0.0,0.0,8.434018990862729,-16.725898860833333,0.0,0.0,0.0,29.088287711599634,0.0,31.67990192052607,15.53675291174445,0.0,41.73572377754577,59.631178092714265,0.0,0.0,0.0,0.0,38.398756037005285,12.338544461293573,0.0
cGMP,0.0,0.0,13.298795947972664,9.004597089992217,25.563121657804714,0.0,-4.631973800999999,8.31977433018988,16.29733367424703,-22.176559810666667,0.0,8.27192554876681,6.200193799746488,14.988949576068634,0.0,37.46324612217502,18.258490503694674,0.0,49.3778147194584,77.36954536753807,0.0,8.537095394999998,0.0,0.0,47.232183732581866,20.032823732057665,0.0
TCR,0.0,0.0,11.396723013803204,0.0,13.678032989209923,10.034752580266785,0.0,0.0,8.434018990862729,-22.571119697750003,0.0,0.0,0.0,25.72471588368148,0.0,12.405523115934166,12.473813213896356,0.0,49.762843785241884,65.68443933143054,4.139546648,9.271052984,0.0,0.0,53.148654310661485,6.611182533435136,0.0
BCR,0.0,0.0,4.756413727873624,0.0,13.678032989209923,10.034752580266785,0.0,0.0,8.434018990862729,-16.390497358500003,0.0,0.0,0.0,13.719726854011142,0.0,12.405523115934166,6.783779320466422,0.0,25.319718412984955,49.77694047939151,0.0,0.0,0.0,0.0,64.9542498119024,0.0,0.0
Chemokine,0.0,0.0,25.294482722964332,0.0,17.845702935,0.0,0.0,0.0,8.434018990862729,-13.276183809651513,0.0,7.449087032772898,0.0,14.302904073998112,0.0,44.399729024469416,21.337042030380765,0.0,67.003291569069,85.8099042477079,0.0,9.004382125,0.0,0.0,62.87263978227964,6.526560247742403,6.641596013279223
Neurotrophin,0.0,0.0,18.72210579880311,8.679736524730382,23.995078298827945,15.112057881275948,0.0,6.945888266414445,16.662569589571525,-19.867269338568182,0.0,21.896466612905662,0.0,28.49999838665582,0.0,51.445439183373026,24.62528650593935,0.0,90.94657958509337,107.00852727765145,0.0,16.776326178999994,0.0,0.0,66.01916421771922,21.378814983664746,6.641596013279223
Prolactin,0.0,0.0,6.688381856227777,0.0,8.266152447,0.0,0.0,0.0,8.434018990862729,-11.0407935215,0.0,7.449087032772898,0.0,7.067899907668625,0.0,20.99972495984234,6.783779320466422,0.0,42.246455166225054,59.190788331900364,0.0,4.090841696999999,0.0,0.0,30.47683645329078,0.0,0.0
Phospholipase D,0.0,0.0,12.974812212059986,18.293720142673862,0.0,4.939597015510177,0.0,6.509195032392112,16.662569589571525,-12.287441677499999,0.0,7.449087032772898,6.204044263155079,43.750424781283584,0.0,52.96895272370219,19.943275774741053,8.286895640508483,66.75015426798849,76.72435700160364,0.0,12.850738834000001,0.0,8.197920029831522,55.11780906917935,20.966179692359468,0.0
Ras,0.0,0.0,6.402435287898766,18.293720142673862,0.0,4.939597015510177,0.0,6.509195032392112,16.662569589571525,-26.97330784,0.0,7.449087032772898,6.204044263155079,44.07220635104909,0.0,62.92629890305122,19.943275774741053,8.286895640508483,88.44568250404924,82.95767655220712,0.0,17.095340041,0.0,8.197920029831522,49.423542144674066,40.9584644939532,0.0
