,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
NOD-like receptor,0.0,0.0,-0.21773726634071397,-0.01779143902481107,-0.10305564960540077,0.0,-0.045118487315654224,0.0,0.010047430878480807,0.17022480480155786,-0.017917175469983282,-0.07356780766134158,-0.10878646531787678,0.1479579742551067,0.017847699524289846,-0.24815435946666126,-0.2406168879317986,0.0,0.739437548503869,0.7867248386172924,-0.0306287910654472,0.22048646176523556,0.0,0.08975983772196704,-0.5855663022886919,-0.10582875822835203,0.07494445537709601
Toll-llike receptor,0.0,0.0,-0.5809244175244468,-0.030432724647703146,-0.012948633281993993,0.0,-0.07717635988204012,0.0,-0.054857512188423364,0.1513052514682315,0.0046992774022305344,-0.08728171986423648,-0.15247230550367485,0.12360277630022604,0.0,-0.36659347408846016,-0.3778574368697171,0.0,1.0798769545012572,1.0503250525484387,0.04076291588558756,0.3967768656905322,0.0,0.026351655719681618,-0.622688618782597,-0.23843879446263683,0.12819446314503266
TNF,0.0,0.0,-0.5212459329193564,-0.02460518163005786,-0.010469107759910038,0.0,-0.13581953355651932,0.0,-0.044352882194895485,0.23483352454307113,0.0037994157720161767,-0.09678116018841654,-0.12327548104552435,0.1304947591335897,0.0,-0.3299124045233696,-0.305501757469133,0.0,0.8980421497319271,0.9099264772916664,0.07152718644098663,0.33293051496941495,0.0,0.03693127801423773,-0.5381752661916488,-0.25690158692399434,0.10364658722364344
Rap1,0.0,0.0,-0.04412852223165574,-0.03468519039724079,-0.103640294804825,-0.06082819187880186,-0.045370379424473195,-0.027111131875323755,0.019112083387197224,0.2721407639579078,0.03732693367436804,-0.12242768622381736,-0.11591371312847285,-0.23625966952001404,0.0,-0.268791982513998,-0.31117419103148486,0.0,0.22227139788177214,0.17684458214558407,-0.057290183541753414,0.10467657357395689,-0.020955642440355658,0.1273949657922781,-0.5290318257210214,-0.22724082070679008,0.027135649571516648
IL-17,0.0,0.0,-0.3587594260623174,-0.03401304519449175,-0.21740144933256153,-0.0015523174074386049,-0.07217039973936423,0.0015212971977080296,-0.03397073441818108,0.30611555857351835,-0.030734988774157746,-0.20972714947333798,-0.21478350367138635,0.22279523498495063,0.03412060203173058,-0.3616257394420706,-0.4159462668489809,0.0,1.1975736593861284,1.1560122940304054,0.1358279942754354,0.46152889798269797,0.0,0.005531691216698002,-0.6475257007199494,-0.2113597856067108,0.18015699183528086
Estrogen,0.0,0.01361383318859862,-0.16105872076968705,-0.03071680084796751,-0.12180598636603111,-0.02736183116783883,-0.04901857873469429,0.014913970054297638,-0.03408882534152537,0.43476697925925967,-0.01978484434767109,-0.10669491887586649,-0.13062496184877997,0.04888911406587023,0.021092735801433452,-0.3979504159446713,-0.2468181562172263,0.01683219030305038,0.6304155393170836,0.8661689846085705,-0.04019357895672856,0.33572729677908963,0.0,0.1251577347915984,-0.5153512646894536,-0.3502274923981033,-0.11178573992592486
Sphingolipid,0.0,0.0,-0.2867133148674047,-0.044143458136232994,-0.010251001348245246,0.0,-0.028750711993255306,0.0,-0.008230141790361765,0.17023219035055218,0.029323593376447455,-0.06909802822585388,-0.1603273690666325,-0.05431564519550942,0.0,-0.33382189197090373,-0.1700242024833971,0.0,0.46540133565749703,0.45177217311432133,-0.04087024947459079,0.20507051903103587,0.0,0.08498974657226754,-0.3623074194725467,-0.23180242090273406,0.10148728332315086
Oxytocin,-0.0448483889501219,0.0,-0.2633489268284867,-0.03580951296152905,-0.03631657282780434,-0.0006996673306317668,-0.10371592681696583,0.014997640851352856,-0.03407530787728254,0.505982912195901,0.04378199385432377,-0.10130643385411754,-0.15467497044860556,-0.18547512240855155,0.0,-0.31619318331700397,-0.2354803848645842,0.0,0.4126573815783833,0.4253925356299893,-0.015442944890152074,0.29691185173188556,0.0,0.06153207295889467,-0.2908223564582212,-0.3014031301095169,0.1279845147121733
VEGF,0.0,0.0,-0.3945491051765188,-0.07306503415652357,-0.12069146779361037,0.0,-0.10790820502493287,0.0,-0.10802466469650707,0.6971353101063494,0.0,-0.15961003631855397,-0.1997912968668843,-0.06106390396405536,0.0,-0.5883485770534148,-0.45773183322402194,0.0,1.0735389333653715,0.9707244601372432,0.10351681326968189,0.3891966116351075,0.0,0.07462866653023728,-0.66301823486545,-0.3492584323607928,0.1679789517072842
cGMP,0.0,0.0,-0.1368754731730042,-0.05168344745829507,-0.01997672637901664,-0.04221471124075664,-0.0801479673535003,0.021622268329472612,-0.03593396103422522,0.4651053600041896,-0.03639887793637931,-0.07850353669444865,-0.13950482023432018,-0.08474321921632445,0.0,-0.2907667346239122,-0.22969263539775306,0.0,0.21506348181047558,0.23360668592475897,0.002491010620177615,0.04583262972895106,0.0,0.10316142017849371,-0.31294035980879187,-0.2713286873659198,0.11227496225873532
