,Trastuzumab,Tideglusib,Mirdametinib,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Romidepsin,A485,AZD-8055,CUDC-101,Cytarabine,Dactolisib,Imatinib
TNF,0.0,0.0,-0.02460518163005786,0.0,-0.13581953355651932,0.0,-0.044352882194895485,0.0037994157720161767,0.0,0.0,0.07152718644098663,0.0,0.03693127801423773,0.10364658722364344
Rap1,0.0,0.0,-0.03468519039724079,-0.06082819187880186,-0.045370379424473195,-0.027111131875323755,0.019112083387197224,0.03732693367436804,0.0,0.0,-0.057290183541753414,-0.020955642440355658,0.1273949657922781,0.027135649571516648
IL-17,0.0,0.0,-0.03401304519449175,-0.0015523174074386049,-0.07217039973936423,0.0015212971977080296,-0.03397073441818108,-0.030734988774157746,0.03412060203173058,0.0,0.1358279942754354,0.0,0.005531691216698002,0.18015699183528086
Estrogen,0.0,0.01361383318859862,-0.03071680084796751,-0.02736183116783883,-0.04901857873469429,0.014913970054297638,-0.03408882534152537,-0.01978484434767109,0.021092735801433452,0.01683219030305038,-0.04019357895672856,0.0,0.1251577347915984,-0.11178573992592486
Sphingolipid,0.0,0.0,-0.044143458136232994,0.0,-0.028750711993255306,0.0,-0.008230141790361765,0.029323593376447455,0.0,0.0,-0.04087024947459079,0.0,0.08498974657226754,0.10148728332315086
Oxytocin,-0.0448483889501219,0.0,-0.03580951296152905,-0.0006996673306317668,-0.10371592681696583,0.014997640851352856,-0.03407530787728254,0.04378199385432377,0.0,0.0,-0.015442944890152074,0.0,0.06153207295889467,0.1279845147121733
VEGF,0.0,0.0,-0.07306503415652357,0.0,-0.10790820502493287,0.0,-0.10802466469650707,0.0,0.0,0.0,0.10351681326968189,0.0,0.07462866653023728,0.1679789517072842
cGMP,0.0,0.0,-0.05168344745829507,-0.04221471124075664,-0.0801479673535003,0.021622268329472612,-0.03593396103422522,-0.03639887793637931,0.0,0.0,0.002491010620177615,0.0,0.10316142017849371,0.11227496225873532
TCR,0.0,0.0,-0.048138468726975636,-0.06223529573301884,-0.05156171385706266,-0.001274659490521613,-0.09044223262833795,0.007108683602904206,0.0,0.018152362091524918,0.08572297809934605,0.0,0.024262028685838904,-0.010237034925556807
BCR,0.0,0.0,-0.05579686147899449,-0.052652276170255204,-0.0875220602573858,-0.0014774462276500513,-0.10483076963739171,-0.03397609265372922,0.0,0.021040237878812974,0.02479239080998317,0.0,0.02812189688585873,-0.03133209279491068
Chemokine,0.0,0.0,-0.04232865353578892,-0.06992779828131844,-0.08546010229277665,-0.016336233031259743,-0.03232561023765337,-0.018683238915392756,0.0,0.01596155977013398,-0.023586090906979038,0.0,0.08489407458656582,-0.1780932461804652
Neurotrophin,0.02361808246770384,0.0,-0.06351223850450965,-0.04997081684408352,-0.004597724145748483,-0.0010001174464092655,-0.12455449331976218,0.004983148076564587,0.0,0.02655381715637653,0.006594158018479866,0.0,0.08499397895721961,-0.2698272145980778
Prolactin,0.0,0.0,-0.0876807823241342,-0.08273929112468674,-0.0825543830888806,-0.002321701214878652,-0.16473406657304412,-0.0387009948961707,0.0,0.033063230952420385,-0.048856902593028,0.0,0.044191552249206574,-0.2195791319973524
Phospholipase D,0.0,0.0,-0.03519633430496277,-0.04970211130345694,-0.1433214592762677,-0.00042840605705066204,-0.06145577851822096,-0.022575580356099578,0.0,-0.000546469120387807,-0.02811927419359805,0.0,0.0779643797105319,-0.2533829763395102
Ras,0.02046900480534333,0.0,-0.027184755870835305,-0.03250876936723877,-0.07727337814367585,0.010936911373151602,-0.050662786804945514,-0.01444837142790373,0.0,-0.000944371800918186,-0.01495307705512647,0.0,0.04339979448646231,-0.1773348155374751
Fc epsilon RI,0.0,0.0,-0.07220770309046345,-0.04426178571268046,-0.11848798493650481,0.024125539793716767,-0.13566334894250692,0.07738513651987064,0.0,0.027228543137287377,0.037168370085874106,0.0,0.060313202322292744,-0.05213137030186715
