,afatinib_up,dasatinib_up,gefitinib_up,imatinib_up
C16orf88,2.413372833967323,2.61971918568249,2.3280589618045866,1.0
ANXA1,2.26844607877044,1.0,1.0,1.0
MB21D1,2.34802782747519,1.0,1.0,1.0
TRAM2,1.0,1.71733168189071,1.0,1.0
CLIP2,1.0,1.81295239079389,1.0,1.0
LAD1,2.746266940853935,2.841035146290684,2.661329913732057,1.0
SCML2,1.0,3.12818515050587,1.0,1.0
NCOR2,1.0,1.0,2.02169623608478,1.0
ARHGAP39,1.0,1.76185173671927,1.0,1.0
HIRIP3,2.128625917826435,1.0,1.0,1.0
PEA15,1.0,2.0279656635986,1.0,1.0
EIF3J,2.05073261846299,1.0,1.0,1.0
LIMCH1,1.0,1.9272648728058697,1.0,1.0
PRKCD,1.0,1.0,2.59317374196127,1.0
"EEF1A1, EEF1A1P5",1.0,2.07199164954743,1.0,1.0
OSBPL3,1.0,2.408187679193884,2.28007027734637,1.0
NUP153,2.14237576911368,1.0,1.0,2.29547949868988
SVIL,3.20710767606578,2.36574330216162,2.42921192287767,1.0
FAM83A,1.0,1.0,2.54903711319044,1.0
SRGAP3,1.0,2.26591106561517,1.0,1.0
MLTK,1.0,2.13293488613374,1.0,1.0
HIST1H1B,1.0,1.844613990350855,1.0,1.0
FRS2,2.41914442974415,1.0,2.095676035966655,1.0
RDBP,1.0,3.36486550760481,1.0,3.30338511942704
AHNAK2,1.0,1.0,1.0,3.24737121518349
BAIAP2L2,2.4819142589704,1.0,1.0,1.0
MLLT4,4.383111376792945,1.0,1.0,2.03094479833979
PTPN13,1.0,2.92330771747511,1.0,1.0
BOD1L1,1.0,1.0,2.31676199788397,2.85547260167796
STMN1,1.0,1.0,1.0,2.41941738591112
CNKSR1,3.0077759254836325,3.266099606032924,2.17471805943163,1.0
RCC2,2.06260212753687,2.26945004800753,1.0,1.0
HNRNPUL2,2.23606748188727,1.0,1.0,1.0
ZFYVE19,2.41773460364822,1.0,1.0,1.0
