,afatinib_up,dasatinib_up,gefitinib_up,imatinib_up
ADAM17,0.2676082962002174,0.4431791936360135,0.3291141896195264,1.0
IRF2BP2,0.405110009475559,1.0,0.329648579377446,1.0
CDC25C,0.365822254162496,1.0,0.395351500518467,1.0
SPTAN1,1.0,1.0,0.375282031984692,1.0
SNX9,0.4143678146699465,0.336471970887938,0.405528058991021,1.0
LSM14A,0.3510011009030157,0.3985558019128523,1.0,1.0
XRN1,1.0,1.0,0.452549619893618,1.0
DDX10,0.2116442640313265,0.3326117120462297,0.3164524726601095,1.0
RAI1,0.32557612922454,0.304566791185124,0.3664267517310925,1.0
NFATC2,1.0,0.471560806923717,1.0,1.0
BAG2,1.0,0.425942226263495,1.0,1.0
TCEA3,0.3474603896888115,0.361535114244955,0.3180287264363426,1.0
SF3B2,1.0,0.581447938029877,1.0,1.0
ATR,0.419951238150553,1.0,0.496412853585592,1.0
GOLGA2,0.46845158306136,0.381775997236426,1.0,1.0
CASS4,1.0,0.149695212129439,1.0,0.123968748845527
TNFAIP2,1.0,0.300716750123765,1.0,1.0
PPP2R5E,0.208392156215469,1.0,0.253361131877992,1.0
POLR2M,0.2091182059051425,1.0,0.1442843477403095,1.0
NCOA7,0.349898810660825,0.45734716199226,1.0,1.0
CBLC,1.0,1.0,0.338014020161988,1.0
ASH1L,1.0,1.0,0.436782922536232,1.0
WAPAL,0.257356926589673,1.0,1.0,1.0
TOP2B,0.223568047479471,1.0,0.328929092476318,1.0
DENND2C,0.2183061440055125,0.349192498555611,0.349882758610501,1.0
CCDC50,0.2243529794353208,0.380180432743358,0.17980526061179,1.0
CBX8,0.212715406413523,0.413266028643939,1.0,1.0
LARP6,1.0,1.0,0.408770697233318,1.0
RTN4,0.3092550370462856,0.4747673477086805,1.0,1.0
RBM7,0.2436867196994795,0.342857640659718,1.0,1.0
NCOA2,0.311183703157825,0.474350837964219,1.0,1.0
FBXO38,1.0,0.422062186357614,1.0,1.0
KIAA0556,0.2529560764606232,0.373232101201505,0.147481063586174,1.0
RPS13,1.0,0.432312287084054,1.0,1.0
KLC1,0.414392382138779,1.0,0.475257783840019,1.0
AKTIP,0.374820524265913,0.486099097329357,0.371555321566224,1.0
RPS20,1.0,0.379712487042966,1.0,1.0
CDKN2AIP,0.422962094546203,1.0,1.0,1.0
KIAA1462,1.0,1.0,0.464633372789474,1.0
WDR67,0.2984179310707735,1.0,1.0,1.0
DIP2B,1.0,0.498430213028452,1.0,1.0
MAP1B,1.0,0.592748026709343,1.0,1.0
SON,1.0,1.0,1.0,0.42163288411727
SH3KBP1,1.0,0.461729770973924,1.0,1.0
MSH6,1.0,1.0,0.370431623868882,1.0
RALGAPB,1.0,0.431556684351774,1.0,1.0
CD97,0.103312267704657,0.257241418742214,0.0828211382709759,1.0
ADAM9,1.0,0.324985626650382,1.0,1.0
CDS1,1.0,1.0,1.0,0.498272681771085
MYO5A,0.4117235151077227,0.3665502708329865,0.4286430972148753,1.0
RALGAPA2,1.0,1.0,0.385789352052706,1.0
CRKL,1.0,0.2182851308719361,1.0,1.0
MMTAG2,1.0,0.382169097777891,1.0,1.0
SSRP1,0.420570520341621,1.0,1.0,1.0
ATG2B,0.411376524768106,0.19815646494384,1.0,1.0
GGA2,1.0,0.403715921675552,1.0,1.0
OXR1,0.2901497815788235,0.3332433632953177,0.379643432616474,1.0
KAT6A,0.463060312395664,0.3562718229752066,0.456047696115938,1.0
SKT,0.4064020152847822,1.0,0.3800564535424463,1.0
AAK1,1.0,0.377395899176403,1.0,1.0
POC5,1.0,1.0,0.481933559416404,1.0
NEDD4L,0.470491191592652,1.0,0.3875794659790787,1.0
ILK,1.0,0.576550184691951,1.0,1.0
FLNC,0.2762301670998834,0.587009032770004,0.424799989106978,1.0
LIMA1,0.3166154185716446,0.3416083751128048,0.2810820661155036,1.0
HUWE1,0.416214770738067,1.0,1.0,1.0
RIF1,0.1791998357757533,0.4933768258351465,0.3167882486556085,1.0
PHF8,0.304026397980484,0.44538853755274,0.297406052341957,1.0
TBC1D9B,0.4124615076724908,0.4097947939431685,0.485486271246235,1.0
MLL5,1.0,0.45005006048029,1.0,1.0
MORF4L2,1.0,1.0,0.486931455093192,1.0
ELF3,0.1823700927783664,0.2676742379267287,0.2234943042757819,1.0
HNRNPD,1.0,0.492077143799998,1.0,1.0
SOS1,0.2239318556264491,0.3182860783584564,0.310065939768315,1.0
COL17A1,0.1894940345820916,1.0,0.1599184583230214,1.0
BET1L,1.0,1.0,0.371761510854193,1.0
SATB2,1.0,0.270469525595104,1.0,1.0
C19orf21,0.2134137596289589,0.4017556551517835,0.2159588372997459,1.0
MBD4,0.178184963103714,0.185765330874183,0.33035313013441,1.0
C16orf88,1.0,0.337020803114712,1.0,1.0
FAM107B,1.0,1.0,0.0797154625812642,1.0
IRS2,0.378944734913662,0.4201888043955615,0.473727717207785,1.0
GRHL2,1.0,1.0,0.0895402551923163,1.0
XRCC6,0.2891420783141443,0.570938401107355,1.0,1.0
SMTN,1.0,0.458670461117451,1.0,1.0
YTHDC2,0.3247792999749323,0.417735417465085,0.3243690948194635,1.0
OSBPL3,1.0,0.5778745947672,0.429748679198234,1.0
AP3D1,0.2156949995323993,1.0,0.232276060079563,1.0
HIST1H1B,1.0,1.0,0.41941713979578,1.0
DOCK10,1.0,0.4727676523578235,1.0,1.0
EFS,1.0,1.0,0.191212627593103,1.0
PTPN13,0.401676932418814,1.0,1.0,1.0
PLEKHA1,1.0,0.370525198582153,1.0,1.0
BOD1L1,0.3392117190361154,0.4664957576255784,0.347205843522879,1.0
